date,rba_rate,fed_rate
1969-06-01,,8.901333333333334
1969-07-01,,8.613225806451613
1969-08-01,,9.185483870967742
1969-09-01,,9.15
1969-10-01,,9.0
1969-11-01,,8.85
1969-12-01,,8.971935483870968
1970-01-01,,8.976774193548389
1970-02-01,,8.978214285714285
1970-03-01,,7.7622580645161285
1970-04-01,,8.096333333333332
1970-05-01,,7.946451612903226
1970-06-01,,7.605
1970-07-01,,7.214838709677419
1970-08-01,,6.615161290322581
1970-09-01,,6.289666666666666
1970-10-01,,6.203870967741936
1970-11-01,,5.601333333333333
1970-12-01,,4.900645161290322
1971-01-01,,4.142258064516129
1971-02-01,,3.7207142857142856
1971-03-01,,3.7116129032258067
1971-04-01,,4.156
1971-05-01,,4.632258064516129
1971-06-01,,4.911333333333333
1971-07-01,,5.308709677419355
1971-08-01,,5.566774193548387
1971-09-01,,5.553666666666667
1971-10-01,,5.199354838709677
1971-11-01,,4.910333333333333
1971-12-01,,4.138387096774193
1972-01-01,,3.505806451612903
1972-02-01,,3.29551724137931
1972-03-01,,3.829354838709677
1972-04-01,,4.171
1972-05-01,,4.269677419354839
1972-06-01,,4.464666666666667
1972-07-01,,4.549032258064517
1972-08-01,,4.805161290322581
1972-09-01,,4.874333333333333
1972-10-01,,5.04516129032258
1972-11-01,,5.056333333333333
1972-12-01,,5.33225806451613
1973-01-01,,5.944516129032258
1973-02-01,,6.5842857142857145
1973-03-01,,7.090322580645162
1973-04-01,,7.124333333333333
1973-05-01,,7.839354838709678
1973-06-01,,8.491
1973-07-01,,10.399999999999999
1973-08-01,,10.495806451612903
1973-09-01,,10.784666666666668
1973-10-01,,10.01
1973-11-01,,10.033666666666667
1973-12-01,,9.94774193548387
1974-01-01,,9.648387096774194
1974-02-01,,8.971785714285714
1974-03-01,,9.346129032258066
1974-04-01,,10.513
1974-05-01,,11.306129032258065
1974-06-01,,11.933
1974-07-01,,12.922903225806452
1974-08-01,,12.005161290322581
1974-09-01,,11.343333333333334
1974-10-01,,10.057741935483872
1974-11-01,,9.447666666666667
1974-12-01,,8.530967741935482
1975-01-01,,7.131612903225807
1975-02-01,,6.240714285714286
1975-03-01,,5.537419354838709
1975-04-01,,5.492666666666667
1975-05-01,,5.2212903225806455
1975-06-01,,5.548
1975-07-01,,6.095806451612903
1975-08-01,,6.135483870967741
1975-09-01,,6.239
1975-10-01,,5.816129032258065
1975-11-01,,5.2156666666666665
1975-12-01,,5.195483870967742
1976-01-01,,4.867741935483871
1976-02-01,,4.770689655172413
1976-03-01,,4.83741935483871
1976-04-01,,4.816
1976-05-01,,5.290645161290322
1976-06-01,,5.476333333333333
1976-07-01,,5.306451612903226
1976-08-01,,5.290967741935484
1976-09-01,,5.252
1976-10-01,,5.02483870967742
1976-11-01,,4.949
1976-12-01,,4.651290322580645
1977-01-01,,4.610967741935484
1977-02-01,,4.6832142857142856
1977-03-01,,4.69
1977-04-01,,4.727333333333333
1977-05-01,,5.35
1977-06-01,,5.3886666666666665
1977-07-01,,5.419354838709677
1977-08-01,,5.901935483870968
1977-09-01,,6.138333333333334
1977-10-01,,6.465483870967742
1977-11-01,,6.507666666666666
1977-12-01,,6.5606451612903225
1978-01-01,,6.703548387096775
1978-02-01,,6.784285714285715
1978-03-01,,6.793225806451613
1978-04-01,,6.8886666666666665
1978-05-01,,7.36
1978-06-01,,7.596666666666667
1978-07-01,,7.8106451612903225
1978-08-01,,8.035806451612903
1978-09-01,,8.449333333333334
1978-10-01,,8.955483870967742
1978-11-01,,9.754999999999999
1978-12-01,,10.028709677419354
1979-01-01,,10.070967741935483
1979-02-01,,10.058571428571428
1979-03-01,,10.088709677419354
1979-04-01,,10.010333333333334
1979-05-01,,10.241935483870968
1979-06-01,,10.291666666666666
1979-07-01,,10.471612903225807
1979-08-01,,10.936129032258064
1979-09-01,,11.428333333333335
1979-10-01,,13.768709677419356
1979-11-01,,13.180333333333333
1979-12-01,,13.778709677419354
1980-01-01,,13.816774193548387
1980-02-01,,14.126206896551725
1980-03-01,,17.192258064516132
1980-04-01,,17.607666666666667
1980-05-01,,10.983225806451614
1980-06-01,,9.472000000000001
1980-07-01,,9.025806451612903
1980-08-01,,9.605483870967742
1980-09-01,,10.871999999999998
1980-10-01,,12.813548387096773
1980-11-01,,15.848666666666666
1980-12-01,,18.896129032258063
1981-01-01,,19.08451612903226
1981-02-01,,15.934285714285716
1981-03-01,,14.703870967741935
1981-04-01,,15.719
1981-05-01,,18.51774193548387
1981-06-01,,19.099666666666668
1981-07-01,,19.035806451612903
1981-08-01,,17.817741935483873
1981-09-01,,15.874
1981-10-01,,15.08
1981-11-01,,13.306999999999999
1981-12-01,,12.369032258064516
1982-01-01,,13.220645161290324
1982-02-01,,14.779285714285715
1982-03-01,,14.677741935483871
1982-04-01,,14.937000000000001
1982-05-01,,14.45483870967742
1982-06-01,,14.152666666666667
1982-07-01,,12.586774193548386
1982-08-01,,10.119032258064516
1982-09-01,,10.309666666666667
1982-10-01,,9.707096774193548
1982-11-01,,9.196333333333333
1982-12-01,,8.945483870967742
1983-01-01,,8.683225806451613
1983-02-01,,8.508928571428571
1983-03-01,,8.766129032258064
1983-04-01,,8.802
1983-05-01,,8.629999999999999
1983-06-01,,8.982
1983-07-01,,9.36774193548387
1983-08-01,,9.558387096774194
1983-09-01,,9.448
1983-10-01,,9.476129032258065
1983-11-01,,9.34
1983-12-01,,9.471290322580646
1984-01-01,,9.558387096774194
1984-02-01,,9.587586206896553
1984-03-01,,9.913225806451614
1984-04-01,,10.291
