date,rba_rate,fed_rate
1/11/1988,,8.345
1/12/1988,,8.760322581
1/1/1989,,9.121290323
1/2/1989,,9.361071429
1/3/1989,,9.848709677
1/4/1989,,9.835333333
1/5/1989,,9.809032258
1/6/1989,,9.53
1/7/1989,,9.235483871
1/8/1989,,8.992258065
1/9/1989,,9.021
1/10/1989,,8.840645161
1/11/1989,,8.548
1/12/1989,,8.452580645
1/1/1990,,8.229032258
1/2/1990,,8.237142857
1/3/1990,,8.276774194
1/4/1990,,8.255
1/5/1990,,8.176451613
1/6/1990,,8.288666667
1/7/1990,,8.152580645
1/8/1990,14,8.134193548
1/9/1990,14,8.195
1/10/1990,13.43478261,8.112580645
1/11/1990,13,7.806666667
1/12/1990,12.57894737,7.312903226
1/1/1991,12,6.906451613
1/2/1991,12,6.2525
1/3/1991,12,6.11516129
1/4/1991,11.55,5.912333333
1/5/1991,10.97826087,5.782903226
1/6/1991,10.5,5.899666667
1/7/1991,10.5,5.820967742
1/8/1991,10.5,5.661290323
1/9/1991,9.547619048,5.447
1/10/1991,9.5,5.209677419
1/11/1991,8.642857143,4.811333333
1/12/1991,8.5,4.434193548
1/1/1992,7.69047619,4.034193548
1/2/1992,7.5,4.057586207
1/3/1992,7.5,3.983225806
1/4/1992,7.5,3.734666667
1/5/1992,6.642857143,3.823225806
1/6/1992,6.5,3.762666667
1/7/1992,5.913043478,3.253548387
1/8/1992,5.75,3.303225806
1/9/1992,5.75,3.219666667
1/10/1992,5.75,3.099032258
1/11/1992,5.75,3.087666667
1/12/1992,5.75,2.919677419
1/1/1993,5.75,3.024193548
1/2/1993,5.75,3.027142857
1/3/1993,5.597826087,3.074193548
1/4/1993,5.25,2.957666667
1/5/1993,5.25,2.996129032
1/6/1993,5.25,3.038
1/7/1993,5.227272727,3.055483871
1/8/1993,4.75,3.032258065
1/9/1993,4.75,3.086333333
1/10/1993,4.75,2.992580645
1/11/1993,4.75,3.018
1/12/1993,4.75,2.95516129
1/1/1994,4.75,3.050645161
1/2/1994,4.75,3.245
1/3/1994,4.75,3.335806452
1/4/1994,4.75,3.555
1/5/1994,4.75,4.010967742
1/6/1994,4.75,4.245666667
1/7/1994,4.75,4.256129032
1/8/1994,5.108695652,4.474516129
1/9/1994,5.5,4.733666667
1/10/1994,5.785714286,4.76
1/11/1994,6.5,5.294666667
1/12/1994,7.05,5.453225806
1/1/1995,7.5,5.527419355
1/2/1995,7.5,5.915357143
1/3/1995,7.5,5.976451613
1/4/1995,7.5,6.047333333
1/5/1995,7.5,6.009032258
1/6/1995,7.5,6.001333333
1/7/1995,7.5,5.851935484
1/8/1995,7.5,5.73516129
1/9/1995,7.5,5.804666667
1/10/1995,7.5,5.756129032
1/11/1995,7.5,5.803
1/12/1995,7.5,5.601935484
1/1/1996,7.5,5.56483871
1/2/1996,7.5,5.224482759
1/3/1996,7.5,5.314193548
1/4/1996,7.5,5.223666667
1/5/1996,7.5,5.23516129
1/6/1996,7.5,5.273333333
1/7/1996,7.47826087,5.396451613
1/8/1996,7,5.222903226
1/9/1996,7,5.299
1/10/1996,7,5.238064516
1/11/1996,6.571428571,5.311
1/12/1996,6.175,5.294516129
1/1/1997,6,5.254516129
1/2/1997,6,5.185714286
1/3/1997,6,5.386129032
1/4/1997,6,5.507333333
1/5/1997,5.863636364,5.504193548
1/6/1997,5.5,5.555666667
1/7/1997,5.456521739,5.521290323
1/8/1997,5,5.542258065
1/9/1997,5,5.540666667
1/10/1997,5,5.496129032
1/11/1997,5,5.521666667
1/12/1997,5,5.50483871
1/1/1998,5,5.557419355
1/2/1998,5,5.505714286
1/3/1998,5,5.493548387
1/4/1998,5,5.445333333
1/5/1998,5,5.488709677
1/6/1998,5,5.558666667
1/7/1998,5,5.535806452
1/8/1998,5,5.546774194
1/9/1998,5,5.511666667
1/10/1998,5,5.070967742
1/11/1998,5,4.826
1/12/1998,4.761904762,4.683548387
1/1/1999,4.75,4.632580645
1/2/1999,4.75,4.764642857
1/3/1999,4.75,4.809354839
1/4/1999,4.75,4.736333333
1/5/1999,4.75,4.742258065
1/6/1999,4.75,4.764666667
1/7/1999,4.75,4.994193548
1/8/1999,4.75,5.072258065
1/9/1999,4.75,5.224333333
1/10/1999,4.75,5.2
1/11/1999,4.977272727,5.42
1/12/1999,5,5.295806452
1/1/2000,5,5.448387097
1/2/2000,5.476190476,5.734827586
1/3/2000,5.5,5.853548387
1/4/2000,5.720588235,6.019666667
1/5/2000,5.97826087,6.268064516
1/6/2000,6,6.528333333
1/7/2000,6,6.544516129
1/8/2000,6.239130435,6.496774194
1/9/2000,6.25,6.517
1/10/2000,6.25,6.509354839
1/11/2000,6.25,6.514333333
1/12/2000,6.25,6.402258065
1/1/2001,6.25,5.975806452
1/2/2001,5.85,5.494285714
1/3/2001,5.545454545,5.310967742
1/4/2001,5.055555556,4.802
1/5/2001,5,4.212258065
1/6/2001,5,3.969666667
1/7/2001,5,3.769032258
1/8/2001,5,3.652580645
1/9/2001,4.775,3.069
1/10/2001,4.52173913,2.48516129
1/11/2001,4.5,2.087
1/12/2001,4.276315789,1.817741935
1/1/2002,4.25,1.729677419
1/2/2002,4.25,1.739642857
